,MAPK_P,MAPK_P_P,pERK,t_pERK
170,0.06350976747538013,0.22532542717900753,0.2888351946543877,850.0
171,0.06463359491472735,0.22309303162668834,0.2877266265414157,855.0
172,0.06574063698844479,0.220768581902722,0.28650921889116676,860.0
173,0.06682611486158034,0.21836306085019225,0.2851891757117726,865.0
174,0.06788562333845573,0.21588686329942922,0.28377248663788496,870.0
175,0.06891514633020006,0.21334980468518075,0.2822649510153808,875.0
176,0.0699110671951347,0.21076112978828324,0.28067219698341794,880.0
177,0.07087017407226226,0.20812952202967105,0.2789996961019333,885.0
178,0.07178966043366873,0.20546311365644865,0.2772527740901174,890.0
179,0.07266712117091131,0.20276949706605044,0.27543661823696175,895.0
180,0.0735005446013463,0.20005573742310423,0.27355628202445054,900.0
181,0.07428830083243733,0.19732838663925473,0.27161668747169204,905.0
182,0.07502912695602179,0.19459349871274587,0.26962262566876766,910.0
183,0.0757221095612692,0.19185664636314634,0.26757875592441555,915.0
184,0.07636666505699398,0.18912293884825376,0.26548960390524773,920.0
185,0.07696251828304754,0.18639704081410435,0.2633595590971519,925.0
186,0.07750967986905188,0.18368319200439842,0.2611928718734503,930.0
187,0.0780084227693221,0.18098522764136826,0.25899365041069033,935.0
188,0.07845925836734886,0.17830659928441053,0.2567658576517594,940.0
189,0.07886291250383035,0.1756503959743331,0.25451330847816345,945.0
190,0.07922030174080406,0.17301936547824778,0.25223966721905183,950.0
191,0.07953251013210832,0.17041593546164324,0.24994844559375157,955.0
192,0.07980076672879602,0.16784223442889587,0.2476430011576919,960.0
193,0.08002642400783874,0.1653001122899798,0.24532653629781853,965.0
194,0.08021093737449217,0.16279116042900657,0.24300209780349874,970.0
195,0.08035584585340967,0.16031673116825382,0.2406725770216635,975.0
196,0.08046275405139361,0.15787795653944917,0.23834071059084277,980.0
197,0.08053331544574231,0.1554757662913238,0.23600908173706614,985.0
198,0.08056921702659198,0.1531109050786425,0.23368012210523448,990.0
199,0.08057216529929098,0.1507839487933262,0.2313561140926172,995.0
200,0.08054387363390822,0.14849532001177498,0.2290391936456832,1000.0
201,0.08048605093276938,0.14624530254498294,0.2267313534777523,1005.0
202,0.08040039157389854,0.14403405508885614,0.2244344466627547,1010.0
203,0.08028856657756948,0.1418616239816233,0.22215019055919277,1015.0
204,0.08015221593502897,0.13972795508317618,0.21988017101820514,1020.0
205,0.07999294203238749,0.13763290479801563,0.21762584683040312,1025.0
206,0.0798123040985525,0.13557625026888107,0.21538855436743357,1030.0
207,0.07961181360343776,0.13355769877261284,0.21316951237605059,1035.0
208,0.07939293053178614,0.13157689635301678,0.21096982688480292,1040.0
209,0.07915706045783664,0.12963343572813926,0.2087904961859759,1045.0
210,0.07890555234734106,0.12772686351078838,0.20663241585812944,1050.0
211,0.07863969701535412,0.12585668678222253,0.20449638379757665,1055.0
212,0.07836072617074932,0.12402237905918459,0.2023831052299339,1060.0
213,0.07806981198166613,0.12222338569429285,0.200293197675959,1065.0
214,0.07776806709948852,0.120459128749205,0.19822719584869353,1070.0
215,0.07745654508279749,0.11872901137896344,0.19618555646176095,1075.0
216,0.07713624116668924,0.11703242176471636,0.1941686629314056,1080.0
217,0.07680809332684325,0.1153687366304909,0.19217682995733415,1085.0
218,0.076472983591827,0.11373732437816693,0.19021030796999394,1090.0
219,0.07613173956104625,0.11213754787289894,0.1882692874339452,1095.0
220,0.07578513608976699,0.11056876690953843,0.18635390299930543,1100.0
221,0.07543389710630385,0.1090303403886905,0.18446423749499435,1105.0
222,0.07507869753011676,0.10752162822914928,0.18260032575926605,1110.0
223,0.07472016526301176,0.1060419930416515,0.18076215830466325,1115.0
224,0.07435888322882919,0.10459080158703535,0.17894968481586454,1120.0
225,0.07399539143995537,0.1031674260401402,0.17716281748009557,1125.0
226,0.07363018907195451,0.10177124507911423,0.17540143415106874,1130.0
227,0.07326373652997384,0.10040164481806257,0.1736653813480364,1135.0
228,0.07289645749313454,0.09905801959963532,0.17195447709276987,1140.0
229,0.07252874092510027,0.09773977266252014,0.1702685135876204,1145.0
230,0.07216094304110512,0.09644631669749733,0.16860725973860247,1150.0
231,0.0717933892233846,0.09517707430450162,0.16697046352788622,1155.0
232,0.071426375878539,0.09393147836189755,0.16535785424043656,1160.0
233,0.07106017223178891,0.09270897231810399,0.1637691445498929,1165.0
234,0.07069502205427132,0.09150901041467974,0.16220403246895104,1170.0
235,0.07033114532063428,0.09033105784908987,0.16066220316972415,1175.0
236,0.0699687397951672,0.08917459088451239,0.1591433306796796,1180.0
237,0.06960798254542469,0.08803909691326343,0.1576470794586881,1185.0
238,0.06924903138314274,0.08692407447971025,0.156173105862853,1190.0
239,0.06889202623271756,0.08582903326796913,0.1547210595006867,1195.0
240,0.06853709042812293,0.0847534940590137,0.15329058448713662,1200.0
241,0.06818433193952383,0.08369698866137654,0.15188132060090037,1205.0
242,0.06783384453118814,0.08265905981912319,0.15049290435031132,1210.0
243,0.06748570885255627,0.08163926110035312,0.1491249699529094,1215.0
244,0.06713999346463355,0.08063715676916478,0.14777715023379834,1220.0
245,0.06679675580394932,0.0796523216435783,0.1464490774475276,1225.0
246,0.0664560430865073,0.07868434094171001,0.1451403840282173,1230.0
247,0.06611789315418677,0.07773281011820377,0.14385070327239052,1235.0
248,0.06578233526618943,0.07679733469260347,0.1425796699587929,1240.0
249,0.06544939083805656,0.07587753007125686,0.14132692090931342,1245.0
250,0.06511907413084095,0.0749730213641034,0.14009209549494434,1250.0
251,0.06479139289297504,0.07408344319748714,0.1388748360904622,1255.0
252,0.0644663489573475,0.07320843952407176,0.13767478848141926,1260.0
253,0.06414393879602523,0.07234766343072588,0.1364916022267511,1265.0
254,0.06382415403504503,0.07150077694521752,0.13532493098026255,1270.0
255,0.06350698193154995,0.07066745084236199,0.13417443277391194,1275.0
256,0.06319240581554084,0.06984736445021955,0.1330397702657604,1280.0
257,0.0628804054983897,0.06904020545692308,0.13192061095531277,1285.0
258,0.06257095765017039,0.0682456697185099,0.13081662736868027,1290.0
259,0.062264036147799504,0.06746346106820263,0.12972749721600213,1295.0
260,0.06195961239586479,0.06669329112743425,0.12865290352329903,1300.0
261,0.0616576556219342,0.06593487911894845,0.12759253474088264,1305.0
262,0.061358133148047916,0.06518795168218303,0.12654608483023094,1310.0
263,0.0610610106400152,0.06445224269115325,0.12551325333116845,1315.0
264,0.060766252336042485,0.06372749307506423,0.12449374541110672,1320.0
265,0.06047382125611848,0.06301345064168179,0.12348727189780026,1325.0
266,0.06018367939354104,0.06230986990372076,0.1224935492972618,1330.0
267,0.05989578788984085,0.06161651190828174,0.12151229979812259,1335.0
268,0.05961010719432747,0.060933144069398246,0.12054325126372573,1340.0
269,0.059326597209355694,0.06025954000382014,0.11958613721317583,1345.0
270,0.0590452174224025,0.05959547937003447,0.11864069679243697,1350.0
271,0.05876592702592781,0.058940747710573664,0.11770667473650148,1355.0
272,0.05848868502595169,0.05829513629764724,0.11678382132359894,1360.0
273,0.05821345034020378,0.057658441982094216,0.115871892322298,1365.0
274,0.057940181886673485,0.057030467045662996,0.11497064893233648,1370.0
275,0.05766883866329045,0.056411019056628396,0.11407985771991885,1375.0
276,0.057399379819465,0.05579991072871412,0.11319929054817912,1380.0
277,0.057131764720113276,0.05519695978331677,0.11232872450343004,1385.0
278,0.05686595300280608,0.054601988815016676,0.11146794181782275,1390.0
279,0.05660190462857678,0.054014825160308644,0.11061672978888543,1395.0
280,0.056339579926937486,0.05343530076958168,0.10977488069651917,1400.0
281,0.05607893963558109,0.0528632520822433,0.10894219171782439,1405.0
282,0.055819944935220474,0.05229851990500984,0.10811846484023031,1410.0
283,0.05556255747997886,0.05174094929327117,0.10730350677325004,1415.0
284,0.05530673942373724,0.05119038943552513,0.10649712885926238,1420.0
285,0.055052453442774735,0.05064669354079042,0.10569914698356515,1425.0
286,0.0547996627550545,0.05010971872899859,0.10490938148405309,1430.0
287,0.054548331136439164,0.04957932592426589,0.10412765706070506,1435.0
288,0.05429842293414674,0.049055379751032496,0.10335380268517924,1440.0
289,0.05404990307767696,0.04853774843298523,0.10258765151066218,1445.0
290,0.05380273708748036,0.04802630369472808,0.10182904078220845,1450.0
291,0.05355689108156364,0.047520920666137695,0.10107781174770133,1455.0
292,0.053312331780254255,0.04702147778935216,0.10033380956960641,1460.0
293,0.0530690265093105,0.04652785672832335,0.09959688323763385,1465.0
294,0.052826943201533756,0.046039942280905535,0.0988668854824393,1470.0
295,0.05258605039706537,0.045557622293391865,0.09814367269045723,1475.0
296,0.052346317242495215,0.04508078757745581,0.09742710481995102,1480.0
297,0.052107713488924734,0.044609331829454174,0.09671704531837891,1485.0
298,0.05187020948910109,0.04414315155200618,0.09601336104110728,1490.0
299,0.051633776193742376,0.0436821459778198,0.09531592217156218,1495.0
300,0.05139838514714786,0.04322621699569652,0.09462460214284438,1500.0
301,0.05116400848219311,0.04277526907866973,0.09393927756086284,1505.0
302,0.05093061891478906,0.04232920921419315,0.0932598281289822,1510.0
303,0.050698189737889025,0.04188794683637451,0.09258613657426354,1515.0
304,0.05046669481511567,0.04145139376015914,0.09191808857527481,1520.0
305,0.05023610857406404,0.04101946411742606,0.0912555726914901,1525.0
306,0.05000640599934426,0.0405920742949518,0.09059848029429605,1530.0
307,0.04977756262542134,0.040169142874175834,0.08994670549959717,1535.0
308,0.049549554529294805,0.03975059057273945,0.08930014510203425,1540.0
309,0.04932235832305126,0.03933634018771082,0.08865869851076208,1545.0
310,0.04909595114636728,0.03892631654049729,0.08802226768686457,1550.0
311,0.04887031065894169,0.03852044642336114,0.08739075708230283,1555.0
312,0.048645415032937275,0.038118658547500725,0.086764073580438,1560.0
313,0.04842124294543515,0.03772088349265922,0.08614212643809438,1565.0
314,0.048197773570935486,0.037327053658203845,0.08552482722913933,1570.0
315,0.04797498657392332,0.03693710321565466,0.08491208978957798,1575.0
316,0.04775286210152754,0.03655096806257627,0.08430383016410381,1580.0
317,0.04753138077628166,0.03616858577784745,0.08369996655412912,1585.0
318,0.04731052368900379,0.03578989557821881,0.0831004192672226,1590.0
319,0.047090272391814236,0.03541483827614723,0.08250511066796146,1595.0
320,0.04687060889130222,0.03504335623885038,0.0819139651301526,1600.0
321,0.046651515641848475,0.03467539334856609,0.08132690899041456,1605.0
322,0.046432975539107975,0.03431089496394257,0.08074387050305054,1610.0
323,0.04621497191368019,0.033949807882564825,0.080164779796245,1615.0
324,0.045997488524946506,0.03359208030455686,0.07958956882950337,1620.0
325,0.04578050955510087,0.03323766179721322,0.07901817135231409,1625.0
326,0.045564019603366465,0.032886503260673446,0.07845052286403992,1630.0
327,0.04534800368040768,0.032538556894544504,0.07788656057495219,1635.0
328,0.04513244720293802,0.03219377616549684,0.07732622336843487,1640.0
329,0.044917335988521705,0.031852115775752574,0.07676945176427427,1645.0
330,0.04470265625057671,0.03151353163248208,0.07621618788305878,1650.0
331,0.044488394593576154,0.0311779808180341,0.07566637541161025,1655.0
332,0.04427453800844589,0.03084542156101766,0.07511995956946355,1660.0
333,0.04406107386816161,0.030515813208158903,0.07457688707632051,1665.0
334,0.04384798992354184,0.030189116196952755,0.07403710612049459,1670.0
335,0.043635274299236505,0.029865292029036688,0.07350056632827319,1675.0
336,0.043422915489905914,0.029544303244301788,0.0729672187342077,1680.0
