,EGF,gkaf,pERK_ratio,tshort
254,0.1,0.12789738801707404,0.08697750136598728,1270000.0
255,0.1,0.12818989244390097,0.0863530923239683,1275000.0
256,0.1,0.12848019897036575,0.0857333751384014,1280000.0
257,0.1,0.1287683484966684,0.08511826249965965,1285000.0
258,0.1,0.12905438087201068,0.08450766934168161,1290000.0
259,0.1,0.1293383349196018,0.08390151278859105,1295000.0
260,0.1,0.12962024846095713,0.08329971210282719,1300000.0
261,0.1,0.12990015833950475,0.08270218863475115,1305000.0
262,0.1,0.13017810044353262,0.08210886577366129,1310000.0
263,0.1,0.13045410972846486,0.0815196689002396,1315000.0
264,0.1,0.13072822023850594,0.08093452534034806,1320000.0
265,0.1,0.13100046512764263,0.0803533643201956,1325000.0
266,0.1,0.1312708766800552,0.07977611692276679,1330000.0
267,0.1,0.13153948632990795,0.07920271604557427,1335000.0
268,0.1,0.13180632468057094,0.07863309635962698,1340000.0
269,0.1,0.13207142152326432,0.07806719426962946,1345000.0
270,0.1,0.1323348058551577,0.0775049478753453,1350000.0
271,0.1,0.1325965058969252,0.07694629693412275,1355000.0
272,0.1,0.1328565491097772,0.07639118282453662,1360000.0
273,0.1,0.1331149622119842,0.0758395485111149,1365000.0
274,0.1,0.13337177119490687,0.07529133851011971,1370000.0
275,0.1,0.13362700133854008,0.07474649885636495,1375000.0
276,0.1,0.13388067722659588,0.07420497707101925,1380000.0
277,0.1,0.13413282276113103,0.07366672213038017,1385000.0
278,0.1,0.1343834611767331,0.07313168443559137,1390000.0
279,0.1,0.13463261505428484,0.07259981578325972,1395000.0
280,0.1,0.13488030633431217,0.07207106933696132,1400000.0
281,0.1,0.13512655632993617,0.07154539959959297,1405000.0
282,0.1,0.13537138573943308,0.07102276238656052,1410000.0
283,0.1,0.1356148146584257,0.07050311479975348,1415000.0
284,0.1,0.13585686259170798,0.0699864152023034,1420000.0
285,0.1,0.1360975484647233,0.06947262319408118,1425000.0
286,0.1,0.13633689063470358,0.06896169958791817,1430000.0
287,0.1,0.13657490690148075,0.0684536063865272,1435000.0
288,0.1,0.13681161451798715,0.06794830676008749,1440000.0
289,0.1,0.1370470302004491,0.06744576502448382,1445000.0
290,0.1,0.13728117013828894,0.06694594662016948,1450000.0
291,0.1,0.13751405000374786,0.06644881809162384,1455000.0
292,0.1,0.13774568496123493,0.06595434706739514,1460000.0
293,0.1,0.13797608967641656,0.06546250224069733,1465000.0
294,0.1,0.13820527832505733,0.06497325335053743,1470000.0
295,0.1,0.13843326460162136,0.06448657116335434,1475000.0
296,0.1,0.13866006172763795,0.0640024274551604,1480000.0
297,0.1,0.13888568245985516,0.06352079499413646,1485000.0
298,0.1,0.1391101390981755,0.06304164752369099,1490000.0
299,0.1,0.13933344349339288,0.06256495974594445,1495000.0
300,0.1,0.13955560705473855,0.06209070730562081,1500000.0
301,0.1,0.13977664075724114,0.06161886677433605,1505000.0
302,0.1,0.13999655514891163,0.06114941563526058,1510000.0
303,0.1,0.140215360357763,0.060682332268134145,1515000.0
304,0.1,0.14043306609867803,0.06021759593460529,1520000.0
305,0.1,0.1406496816801176,0.05975518676391106,1525000.0
306,0.1,0.1408652160106961,0.059295085738840805,1530000.0
307,0.1,0.14107967760562046,0.05883727468199031,1535000.0
308,0.1,0.14129307459300383,0.05838173624228421,1540000.0
309,0.1,0.1415054147200665,0.057928453881739034,1545000.0
310,0.1,0.14171670535921932,0.057477411862476596,1550000.0
311,0.1,0.14192695351405357,0.05702859523393769,1555000.0
312,0.1,0.14213616582522998,0.05658198982031093,1560000.0
313,0.1,0.1423443485762826,0.05613758220814269,1565000.0
314,0.1,0.14255150769934058,0.05569535973412325,1570000.0
315,0.1,0.14275764878077668,0.05525531047302902,1575000.0
316,0.1,0.14296277706679106,0.054817423225802554,1580000.0
317,0.1,0.14316689746893116,0.054381687507769276,1585000.0
318,0.1,0.1433700145695601,0.0539480935369642,1590000.0
319,0.1,0.14357213262727742,0.05351663222256034,1595000.0
320,0.1,0.14377325558229762,0.05308729515338691,1600000.0
321,0.1,0.14397338706179105,0.05266007458652828,1605000.0
322,0.1,0.14417253038520442,0.05223496343596655,1610000.0
323,0.1,0.14437068856954693,0.05181195526129654,1615000.0
324,0.1,0.1445678643346651,0.05139104425646653,1620000.0
325,0.1,0.14476406010850257,0.05097222523854915,1625000.0
326,0.1,0.14495927803235598,0.05055549363652266,1630000.0
327,0.1,0.1451535199661237,0.05014084548006578,1635000.0
328,0.1,0.14534678749356422,0.0497282773883329,1640000.0
329,0.1,0.14553908192755524,0.04931778655872745,1645000.0
330,0.1,0.14573040431537437,0.04890937075562925,1650000.0
331,0.1,0.14592075544398725,0.04850302829910587,1655000.0
332,0.1,0.14611013584536425,0.04809875805356305,1660000.0
333,0.1,0.14629854580182103,0.04769655941634429,1665000.0
334,0.1,0.14648598535138735,0.04729643230627011,1670000.0
335,0.1,0.14667245429321119,0.04689837715210174,1675000.0
336,0.1,0.14685795219299905,0.046502394880927785,1680000.0
337,0.1,0.14704247838849913,0.04610848690645926,1685000.0
338,0.1,0.14722603199501713,0.04571665511725503,1690000.0
339,0.1,0.14740861191100035,0.0453269018648013,1695000.0
340,0.1,0.14759021682365062,0.044939229951530164,1700000.0
341,0.1,0.14777084521459735,0.044553642618708617,1705000.0
342,0.1,0.14795049536562585,0.044170143534210976,1710000.0
343,0.1,0.14812916536446047,0.04378873678017316,1715000.0
344,0.1,0.14830685311060463,0.04340942684052628,1720000.0
345,0.1,0.14848355632124283,0.043032218588397404,1725000.0
346,0.1,0.1486592725372034,0.04265711727338106,1730000.0
347,0.1,0.14883399912898204,0.04228412850868064,1735000.0
348,0.1,0.14900773330283096,0.041913258258109945,1740000.0
349,0.1,0.1491804721069058,0.04154451282297152,1745000.0
350,0.1,0.14935221243748584,0.041177898828778106,1750000.0
351,0.1,0.14952295104524957,0.04081342321185637,1755000.0
352,0.1,0.14969268454162052,0.040451093205800356,1760000.0
353,0.1,0.14986140940516937,0.040090916327805044,1765000.0
354,0.1,0.15002912198808502,0.039732900364852414,1770000.0
355,0.1,0.15019581852270347,0.03937705335977432,1775000.0
356,0.1,0.15036149512809788,0.03902338359718471,1780000.0
357,0.1,0.15052614781672552,0.03867189958929025,1785000.0
358,0.1,0.15068977250113408,0.03832261006157463,1790000.0
359,0.1,0.15085236500071794,0.03797552393837561,1795000.0
360,0.1,0.15101392104853037,0.037630650328343396,1800000.0
361,0.1,0.1511744362981407,0.0372879985098023,1805000.0
362,0.1,0.15133390633054244,0.03694757791600421,1810000.0
363,0.1,0.15149232666109558,0.03660939812030876,1815000.0
364,0.1,0.15164969274651555,0.03627346882126398,1820000.0
365,0.1,0.15180599999189426,0.03593979982761867,1825000.0
366,0.1,0.1519612437577505,0.03560840104327153,1830000.0
367,0.1,0.15211541936710735,0.035279282452163566,1835000.0
368,0.1,0.15226852211259173,0.0349524541031221,1840000.0
369,0.1,0.15242054726355087,0.03462792609466969,1845000.0
370,0.1,0.1525714900731773,0.034305708559814234,1850000.0
371,0.1,0.15272134578564286,0.0339858116508199,1855000.0
372,0.1,0.15287010964323158,0.03366824552398083,1860000.0
373,0.1,0.15301777689346724,0.033353020324405735,1865000.0
374,0.1,0.15316434279622865,0.03304014617082887,1870000.0
375,0.1,0.15330980263084795,0.032729633140457653,1875000.0
376,0.1,0.15345415170318308,0.03242149125387461,1880000.0
377,0.1,0.15359738535266007,0.0321157304600044,1885000.0
378,0.1,0.15373949895927733,0.031812360621161884,1890000.0
379,0.1,0.15388048795056694,0.031511391498191675,1895000.0
380,0.1,0.15402034780850044,0.031212832735726496,1900000.0
381,0.1,0.15415907407633997,0.030916693847561832,1905000.0
382,0.1,0.15429666236541978,0.030622984202179643,1910000.0
383,0.1,0.15443310836185836,0.030331713008420164,1915000.0
384,0.1,0.15456840783318698,0.03004288930133132,1920000.0
385,0.1,0.1547025566348907,0.029756521928206478,1925000.0
386,0.1,0.1548355507168561,0.02947261953481969,1930000.0
387,0.1,0.15496738612971492,0.02919119055188454,1935000.0
388,0.1,0.15509805903107746,0.02891224318174744,1940000.0
389,0.1,0.15522756569165094,0.028635785385326573,1945000.0
390,0.1,0.1553559025012318,0.02836182486932072,1950000.0
391,0.1,0.1554830659745669,0.02809036907369661,1955000.0
392,0.1,0.15560905275707818,0.02782142515946916,1960000.0
393,0.1,0.1557338596304385,0.027554999996798335,1965000.0
394,0.1,0.1558574835179992,0.027291100153403164,1970000.0
